IP, COUNT
111.192.165.229,334
114.252.89.91,294
66.249.66.84,246
220.181.89.174,172
222.70.152.149,160
111.194.118.58,160
219.142.118.249,123
60.247.77.253,122
183.60.177.228,119
61.234.74.235,100
